INFO - 2021-01-26 18:21:06,728 - process: 27808 - cnn.py - util.log - 72 - cnn - Start training
INFO - 2021-01-26 18:29:44,283 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 35
INFO - 2021-01-26 18:29:57,398 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 36
INFO - 2021-01-26 18:30:10,526 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 37
INFO - 2021-01-26 18:30:23,585 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 38
INFO - 2021-01-26 18:30:36,681 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 39
INFO - 2021-01-26 18:30:49,833 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 40
INFO - 2021-01-26 18:31:02,950 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 41
INFO - 2021-01-26 18:31:16,009 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 42
INFO - 2021-01-26 18:31:29,166 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 43
INFO - 2021-01-26 18:31:42,246 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 44
INFO - 2021-01-26 18:31:55,282 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 45
INFO - 2021-01-26 18:32:08,354 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 46
INFO - 2021-01-26 18:32:21,409 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 47
INFO - 2021-01-26 18:32:34,471 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 48
INFO - 2021-01-26 18:32:47,637 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 49
INFO - 2021-01-26 18:33:00,745 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 50
INFO - 2021-01-26 18:33:13,824 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 51
INFO - 2021-01-26 18:33:27,062 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 52
INFO - 2021-01-26 18:33:40,179 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 53
INFO - 2021-01-26 18:33:53,243 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 54
INFO - 2021-01-26 18:34:06,286 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 55
INFO - 2021-01-26 18:34:19,465 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 56
INFO - 2021-01-26 18:34:32,589 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 57
INFO - 2021-01-26 18:34:45,626 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 58
INFO - 2021-01-26 18:34:58,705 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 59
INFO - 2021-01-26 18:35:11,805 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 60
INFO - 2021-01-26 18:35:24,875 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 61
INFO - 2021-01-26 18:35:38,051 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 62
INFO - 2021-01-26 18:35:51,109 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 63
INFO - 2021-01-26 18:36:04,203 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 64
INFO - 2021-01-26 18:36:17,368 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 65
INFO - 2021-01-26 18:36:30,436 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 66
INFO - 2021-01-26 18:36:43,507 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 67
INFO - 2021-01-26 18:36:56,620 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 68
INFO - 2021-01-26 18:37:09,679 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 69
INFO - 2021-01-26 18:37:22,793 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 70
INFO - 2021-01-26 18:37:37,114 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 71
INFO - 2021-01-26 18:37:50,495 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 72
INFO - 2021-01-26 18:38:03,587 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 73
INFO - 2021-01-26 18:38:17,293 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 74
INFO - 2021-01-26 18:38:31,135 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 75
INFO - 2021-01-26 18:38:44,700 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 76
INFO - 2021-01-26 18:38:57,854 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 77
INFO - 2021-01-26 18:39:11,037 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 78
INFO - 2021-01-26 18:39:24,490 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 79
INFO - 2021-01-26 18:39:37,625 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 80
INFO - 2021-01-26 18:39:50,800 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 81
INFO - 2021-01-26 18:40:04,039 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 82
INFO - 2021-01-26 18:40:17,175 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 83
INFO - 2021-01-26 18:40:31,108 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 84
INFO - 2021-01-26 18:40:45,630 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 85
INFO - 2021-01-26 18:40:59,558 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 86
INFO - 2021-01-26 18:41:14,436 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 87
INFO - 2021-01-26 18:41:28,122 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 88
INFO - 2021-01-26 18:41:43,322 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 89
INFO - 2021-01-26 18:42:02,591 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 90
INFO - 2021-01-26 18:42:18,099 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 91
INFO - 2021-01-26 18:42:33,589 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 92
INFO - 2021-01-26 18:42:47,635 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 93
INFO - 2021-01-26 18:43:02,470 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 94
INFO - 2021-01-26 18:43:17,228 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 95
INFO - 2021-01-26 18:43:33,194 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 96
INFO - 2021-01-26 18:43:47,067 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 97
INFO - 2021-01-26 18:44:00,576 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 98
INFO - 2021-01-26 18:44:14,216 - process: 27808 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 99
INFO - 2021-01-26 19:16:13,827 - process: 28537 - cnn.py - util.log - 72 - cnn - Start training
INFO - 2021-01-26 19:16:28,504 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 0
INFO - 2021-01-26 19:16:43,465 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 1
INFO - 2021-01-26 19:16:58,895 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 2
INFO - 2021-01-26 19:17:13,949 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 3
INFO - 2021-01-26 19:17:29,958 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 4
INFO - 2021-01-26 19:17:46,106 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 5
INFO - 2021-01-26 19:18:00,731 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 6
INFO - 2021-01-26 19:18:16,552 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 7
INFO - 2021-01-26 19:18:31,541 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 8
INFO - 2021-01-26 19:56:46,247 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 9
INFO - 2021-01-26 19:57:00,944 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 10
INFO - 2021-01-26 19:57:15,039 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 11
INFO - 2021-01-26 19:57:30,566 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 12
INFO - 2021-01-26 19:57:45,881 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 13
INFO - 2021-01-26 19:58:00,252 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 14
INFO - 2021-01-26 19:58:14,702 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 15
INFO - 2021-01-26 19:58:29,117 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 16
INFO - 2021-01-26 19:58:43,256 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 17
INFO - 2021-01-26 19:58:57,393 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 18
INFO - 2021-01-26 19:59:11,441 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 19
INFO - 2021-01-26 19:59:25,105 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 20
INFO - 2021-01-26 19:59:38,976 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 21
INFO - 2021-01-26 19:59:52,568 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 22
INFO - 2021-01-26 20:00:07,037 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 23
INFO - 2021-01-26 20:00:20,949 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 24
INFO - 2021-01-26 20:00:35,002 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 25
INFO - 2021-01-26 20:00:50,447 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 26
INFO - 2021-01-26 20:01:05,008 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 27
INFO - 2021-01-26 20:01:19,610 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 28
INFO - 2021-01-26 20:01:35,162 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 29
INFO - 2021-01-26 20:01:49,534 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 30
INFO - 2021-01-26 20:02:04,035 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 31
INFO - 2021-01-26 20:02:17,722 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 32
INFO - 2021-01-26 20:02:32,694 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 33
INFO - 2021-01-26 20:02:47,728 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 34
INFO - 2021-01-26 20:03:02,136 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 35
INFO - 2021-01-26 20:03:16,317 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 36
INFO - 2021-01-26 20:03:30,558 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 37
INFO - 2021-01-26 20:03:44,700 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 38
INFO - 2021-01-26 20:03:58,494 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 39
INFO - 2021-01-26 20:04:14,020 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 40
INFO - 2021-01-26 20:04:27,968 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 41
INFO - 2021-01-26 20:04:42,027 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 42
INFO - 2021-01-26 20:04:56,655 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 43
INFO - 2021-01-26 20:05:11,596 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 44
INFO - 2021-01-26 20:05:26,105 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 45
INFO - 2021-01-26 20:05:39,750 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 46
INFO - 2021-01-26 20:05:53,385 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 47
INFO - 2021-01-26 20:06:06,948 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 48
INFO - 2021-01-26 20:06:20,505 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 49
INFO - 2021-01-26 20:06:35,905 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 50
INFO - 2021-01-26 20:06:49,895 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 51
INFO - 2021-01-26 20:07:03,823 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 52
INFO - 2021-01-26 20:07:17,309 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 53
INFO - 2021-01-26 20:07:31,234 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 54
INFO - 2021-01-26 20:07:45,084 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 55
INFO - 2021-01-26 20:07:58,648 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 56
INFO - 2021-01-26 20:08:12,565 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 57
INFO - 2021-01-26 20:08:26,251 - process: 28537 - cnn.py - util.log - 103 - cnn - Train model: ./model/SIMPLE_CNN_NET_CIFAR10_3_classes, epoch: 58
